¿¸«•¿œ¿⁄,ITEM_CD,¡¶«∞ƒ⁄µÂ/∏Ì  ƒ™, ºˆ  ∑Æ ,∆«∏≈¥‹∞°, ∆«∏≈¥Î±› ,
20171110,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,210 ",465.2," 1,028,090 ",
20171110,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,610 ",441.6," 2,035,770 ",
20171117,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,970 ",434," 1,288,980 ",
20171120,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,490 ",434," 2,816,660 ",
20171127,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 5,940 ",434," 2,577,960 ",
20171204,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,760 ",434," 2,933,840 ",
20171208,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,350 ",434," 2,755,900 ",
20171215,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,250 ",434," 2,712,500 ",
20171222,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,070 ",434," 2,634,380 ",
20171228,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,360 ",434," 2,760,240 ",
20180104,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,120 ",434," 2,656,080 ",
20180110,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,290 ",434," 2,729,860 ",
20180115,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,310 ",434," 2,738,540 ",
20180119,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,840 ",457.6," 2,214,780 ",
20180119,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,130 ",434," 924,420 ",
20180125,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,120 ",434," 2,656,080 ",
